9b6811b [Rahul] | Fix. Compilation Error
4a9b8f0 [Ullas] | Compilation Error
2d2f721 [Ullas] | Add. Texture Initialization
a9325a2 [Ullas] | Add. Batch Rendering
d34d09f [Rahul] | Refactor. Sandbox2D
a041721 [Rahul] | Refactor. Renderer2D API
3177425 [Rahul] | Add. Initial Instrumentation Work
e306c1d [Rahul] | Add. Sandbox Profiling Demo Timer
2b1e00e [Rahul] | Refactor. Single Shader For Renderer2D
9829a94 [Rahul] | Add. Transforms and Textures
7cdf205 [Rahul] | Add. SandBox2D Layer
9388fcc [Rahul] | Fix. Orthographic Camera Controller Movement
c9dbee4 [Rahul] | Refactor. VSC Version Update
94d313c [Rahul] | Add. Window Resize Handling
9cccc47 [Ullas] | Add. Window Resize Events
07989b8 [Ullas] | Add. Camera Controller
ad31ac3 [Ullas] | Add. shader library
2ca92a4 [Ullas] | Add. shader asset files
3eca568 [Rahul] | Fix. Shader Input Scalability
618fc65 [Rahul] | Add. Blending Support
f99c521 [Rahul] | Add. Initial Texture Support
0aed3cb [Rahul] | Add. Shader Abstraction
ff28b58 [Ullas] | Add. Material System
743d31f [Rahul] | Fix. Timestamp
542cd75 [Rahul] | Add. Useful Git Commands
4b57560 [Ullas] | Error. Timestamp
7ff0b89 [Ullas] | Add. Sandbox Moves
7841333 [Rahul] | Fix. Macro Invocations And Edge Cases
548ea50 [Rahul] | Add. Orthographic Camera
458c50b [Rahul] | Add. RendererAPI And Render Command Architecture
bbf0594 [Rahul] | Fix. Macro Name
865473e [Rahul] | Add. Vertex Array Support
a5ee8c6 [Rahul] | Add. Buffer Layout Descriptors For Vertex Buffers
ab91963 [Rahul] | Add. OpenGL Buffer Abstraction
86dc25d [Rahul] | Fix. Log Status
72b5f65 [Rahul] | Test. Shader
6d2a544 [Rahul] | Test. Renderer
faac7d8 [Rahul] | Fix. Stopped Tracking Imgui
b48985e [Rahul] | Add. OpenGL Context Class
6dd6356 [Rahul] | Add. Docking and Viewports Capabilities
2851a97 [Ullas] | Add. Math Engine - GLM
316ef66 [Rahul] | Add. Key And Mouse Codes
05952dd [Rahul] | Add. Input Polling
a728931 [Rahul] | Refactor. Premake File
c96ce19 [Rahul] | Fix. VSC Solution Update
478260b [Rahul] | Add. Events to ImGui Layers
a646569 [Rahul] | Add. ImGui
1a0056b [Rahul] | Add. Glad
ce2db4a [Rahul] | Add. Layers
0324373 [Rahul] | Add. Window Events
738a76e [Rahul] | Add. Vendor Files
e120d08 [Rahul] | Add. Window Abstraction and GLFW
e664453 [Rahul] | Fix. Event Compile Error - pch
b2cb119 [Rahul] | Add. Precompiled Headers
3d5774d [Rahul] | Add. Event Handling System - Mouse/Key Input
c3e2d2f [Rahul] | Add. Premake Setup And Configuration
16db130 [Rahul] | Add. Log System
390163f [Rahul] | Add. Complete Entry Point
e14a3ec [Rahul] | Add. Entry Point
c8e9d65 [Rahul] | Add. Empty C++ Project
e81eb27 [Rahul] | Fix. Unresolved Bug
a3bff97 [Ullas] | Add. Logging
3ff25e8 [Ullas] | Add. Setup
7ff25ab [Ullas] | Add. Project Setup
aba5f7d [Ullas] | Add. Entry Point
395402f [Rahul] | Fix. README file
de59f1f [Rahul] | Add. README file
48c621a [Rahul] | Add. Source Folder
5ea280f initial commit
